,precision,recall,f1-score,support
no,0.914,0.84,0.876,5326.0
yes,0.293,0.457,0.357,772.0
accuracy,0.791,0.791,0.791,0.791
macro avg,0.604,0.649,0.616,6098.0
weighted avg,0.836,0.791,0.81,6098.0
