,precision,recall,f1-score,support
no,0.902,0.591,0.714,5326.0
yes,0.165,0.557,0.254,772.0
accuracy,0.587,0.587,0.587,0.587
macro avg,0.533,0.574,0.484,6098.0
weighted avg,0.809,0.587,0.656,6098.0
