,precision,recall,f1-score,support
no,0.902,0.618,0.733,5326.0
yes,0.169,0.535,0.257,772.0
accuracy,0.608,0.608,0.608,0.608
macro avg,0.535,0.577,0.495,6098.0
weighted avg,0.809,0.608,0.673,6098.0
